ZONE I=100
0.144444 0.998369
0.144697 0.998361
0.144949 0.998353
0.145202 0.998344
0.145455 0.998336
0.145707 0.998328
0.14596 0.998319
0.146212 0.998311
0.146465 0.998302
0.146717 0.998294
0.14697 0.998285
0.147222 0.998276
0.147475 0.998268
0.147727 0.998259
0.14798 0.99825
0.148232 0.998241
0.148485 0.998232
0.148737 0.998223
0.14899 0.998214
0.149242 0.998205
0.149495 0.998196
0.149747 0.998187
0.15 0.998178
ZONE I=100
0.15 0.998178
0.150253 0.998169
0.150505 0.998159
0.150758 0.99815
0.15101 0.998141
0.151263 0.998131
0.151515 0.998122
0.151768 0.998112
0.15202 0.998103
0.152273 0.998093
0.152525 0.998084
0.152778 0.998074
0.15303 0.998064
0.153283 0.998054
0.153535 0.998045
0.153788 0.998035
0.15404 0.998025
0.154293 0.998015
0.154545 0.998005
0.154798 0.997995
0.155051 0.997984
0.155303 0.997974
0.155556 0.997964
0.155808 0.997954
0.156061 0.997943
0.156313 0.997933
0.156566 0.997922
0.156818 0.997912
0.157071 0.997901
0.157323 0.997891
0.157576 0.99788
0.157828 0.997869
0.158081 0.997859
0.158333 0.997848
0.158586 0.997837
0.158838 0.997826
0.159091 0.997815
0.159343 0.997804
0.159596 0.997793
0.159848 0.997782
0.160101 0.99777
0.160354 0.997759
0.160606 0.997748
0.160859 0.997736
0.161111 0.997725
0.161364 0.997713
0.161616 0.997702
0.161869 0.99769
0.162121 0.997679
0.162374 0.997667
0.162626 0.997655
0.162879 0.997643
0.163131 0.997631
0.163384 0.997619
0.163636 0.997607
0.163889 0.997595
0.164141 0.997583
0.164394 0.997571
0.164646 0.997559
0.164899 0.997546
0.165152 0.997534
0.165404 0.997521
0.165657 0.997509
0.165909 0.997496
0.166162 0.997483
0.166414 0.997471
0.166667 0.997458
0.166919 0.997445
0.167172 0.997432
0.167424 0.997419
0.167677 0.997406
0.167929 0.997393
0.168182 0.99738
0.168434 0.997367
0.168687 0.997353
0.168939 0.99734
0.169192 0.997326
0.169444 0.997313
0.169697 0.997299
0.169949 0.997286
0.170202 0.997272
0.170455 0.997258
0.170707 0.997244
0.17096 0.99723
0.171212 0.997216
0.171465 0.997202
0.171717 0.997188
0.17197 0.997174
0.172222 0.99716
0.172475 0.997145
0.172727 0.997131
0.17298 0.997116
0.173232 0.997102
0.173485 0.997087
0.173737 0.997072
0.17399 0.997058
0.174242 0.997043
0.174495 0.997028
0.174747 0.997013
0.175 0.996998
ZONE I=100
0.175 0.996998
0.175253 0.996982
0.175505 0.996967
0.175758 0.996952
0.17601 0.996936
0.176263 0.996921
0.176515 0.996905
0.176768 0.99689
0.17702 0.996874
0.177273 0.996858
0.177525 0.996842
0.177778 0.996826
0.17803 0.99681
0.178283 0.996794
0.178535 0.996778
0.178788 0.996762
0.17904 0.996745
0.179293 0.996729
0.179545 0.996712
0.179798 0.996696
0.180051 0.996679
0.180303 0.996662
0.180556 0.996645
0.180808 0.996628
0.181061 0.996611
0.181313 0.996594
0.181566 0.996577
0.181818 0.99656
0.182071 0.996542
0.182323 0.996525
0.182576 0.996507
0.182828 0.99649
0.183081 0.996472
0.183333 0.996454
0.183586 0.996436
0.183838 0.996418
0.184091 0.9964
0.184343 0.996382
0.184596 0.996364
0.184848 0.996345
0.185101 0.996327
0.185354 0.996308
0.185606 0.996289
0.185859 0.996271
0.186111 0.996252
0.186364 0.996233
0.186616 0.996214
0.186869 0.996195
0.187121 0.996176
0.187374 0.996156
0.187626 0.996137
0.187879 0.996117
0.188131 0.996098
0.188384 0.996078
0.188636 0.996058
0.188889 0.996038
0.189141 0.996018
0.189394 0.995998
0.189646 0.995978
0.189899 0.995958
0.190152 0.995937
0.190404 0.995917
0.190657 0.995896
0.190909 0.995875
0.191162 0.995854
0.191414 0.995833
0.191667 0.995812
0.191919 0.995791
0.192172 0.99577
0.192424 0.995749
0.192677 0.995727
0.192929 0.995705
0.193182 0.995684
0.193434 0.995662
0.193687 0.99564
0.193939 0.995618
0.194192 0.995596
0.194444 0.995574
0.194697 0.995551
0.194949 0.995529
0.195202 0.995506
0.195455 0.995484
0.195707 0.995461
0.19596 0.995438
0.196212 0.995415
0.196465 0.995392
0.196717 0.995368
0.19697 0.995345
0.197222 0.995321
0.197475 0.995298
0.197727 0.995274
0.19798 0.99525
0.198232 0.995226
0.198485 0.995202
0.198737 0.995178
0.19899 0.995153
0.199242 0.995129
0.199495 0.995104
0.199747 0.99508
0.2 0.995055
ZONE I=100
0.2 0.995055
0.200253 0.99503
0.200505 0.995005
0.200758 0.994979
0.20101 0.994954
0.201263 0.994929
0.201515 0.994903
0.201768 0.994877
0.20202 0.994851
0.202273 0.994825
0.202525 0.994799
0.202778 0.994773
0.20303 0.994747
0.203283 0.99472
0.203535 0.994693
0.203788 0.994667
0.20404 0.99464
0.204293 0.994613
0.204545 0.994585
0.204798 0.994558
0.205051 0.994531
0.205303 0.994503
0.205556 0.994475
0.205808 0.994447
0.206061 0.994419
0.206313 0.994391
0.206566 0.994363
0.206818 0.994334
0.207071 0.994306
0.207323 0.994277
0.207576 0.994248
0.207828 0.994219
0.208081 0.99419
0.208333 0.994161
0.208586 0.994131
0.208838 0.994101
0.209091 0.994072
0.209343 0.994042
0.209596 0.994012
0.209848 0.993981
0.210101 0.993951
0.210354 0.99392
0.210606 0.99389
0.210859 0.993859
0.211111 0.993828
0.211364 0.993797
0.211616 0.993765
0.211869 0.993734
0.212121 0.993702
0.212374 0.993671
0.212626 0.993639
0.212879 0.993607
0.213131 0.993574
0.213384 0.993542
0.213636 0.993509
0.213889 0.993476
0.214141 0.993444
0.214394 0.99341
0.214646 0.993377
0.214899 0.993344
0.215152 0.99331
0.215404 0.993276
0.215657 0.993243
0.215909 0.993208
0.216162 0.993174
0.216414 0.99314
0.216667 0.993105
0.216919 0.99307
0.217172 0.993035
